Number,Mode,StartDate,EndDate,DurationInSeconds,DepthInMetersMax,DepthInMetersAvg,Buddy,Location,Site,Note,TemperatureInCelsiusMax,TemperatureInCelsiusMin,TemperatureInCelsiusAvg,Salinity,SurfaceIntervalInSeconds,SurfacePressureInMillibarPreDive,SurfacePressureInMillibarPostDive,DecoModel,GradientFactorLow,GradientFactorHigh,GradientFactor99Max,CNSPercentPreDive,CNSPercentPostDive,ComputerModel,ComputerSerialNumber,ComputerFirmwareVersion,BatteryType,BatteryVoltagePreDive,BatteryVoltagePostDive,SampleRateInMs,DataFormat,LogVersion,DatabaseVersion,O2SensorStatusPreDive,O2SensorStatusPostDive,SensorDisplay,PPO2SetpointLowPreDive,PPO2SetpointLowPostDive,PPO2SetpointHighPreDive,PPO2SetpointHighPostDive,Features
174,Free Dive,2025-12-11 18:36:18,2025-12-11 18:36:47,29,10.6000003814697,4.48833894729614,Yiqu,Beijing,HiDive,,30,30,30,Fresh,240,1052,1052,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
175,Free Dive,2025-12-11 18:39:06,2025-12-11 18:39:43,37,11.4000005722046,4.77091503143311,Yiqu,Beijing,HiDive,,30,30,30,Fresh,180,1052,1052,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
176,Free Dive,2025-12-11 18:41:54,2025-12-11 18:42:27,33,11.1999998092651,4.9721155166626,Yiqu,Beijing,HiDive,,30,30,30,Fresh,180,1052,1052,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
177,Free Dive,2025-12-11 18:43:39,2025-12-11 18:43:49,10,1.10000002384186,0.577393710613251,Yiqu,Beijing,HiDive,,30,29,29.875,Fresh,120,1052,1052,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
178,Free Dive,2025-12-11 18:45:59,2025-12-11 18:46:35,36,1.10000002384186,0.924751996994019,Yiqu,Beijing,HiDive,,30,30,30,Fresh,180,1052,1052,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
179,Free Dive,2025-12-11 18:47:45,2025-12-11 18:48:20,35,11,4.84173774719238,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1052,1052,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
180,Free Dive,2025-12-11 18:48:55,2025-12-11 18:49:20,25,1,0.698316335678101,Yiqu,Beijing,HiDive,,30,30,30,Fresh,60,1052,1052,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
181,Free Dive,2025-12-11 18:50:50,2025-12-11 18:51:31,41,11.1999998092651,5.31101322174072,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1052,1052,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
182,Free Dive,2025-12-11 18:56:16,2025-12-11 18:57:16,60,11.9000005722046,5.8239164352417,Yiqu,Beijing,HiDive,,30,29,29.9848480224609,Fresh,300,1052,1052,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
183,Free Dive,2025-12-11 18:58:30,2025-12-11 18:59:18,48,11.1999998092651,4.61254024505615,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1051,1051,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
184,Free Dive,2025-12-11 18:59:54,2025-12-11 19:00:30,36,1.60000002384186,0.652109622955322,Yiqu,Beijing,HiDive,,30,30,30,Fresh,60,1051,1051,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
185,Free Dive,2025-12-11 19:01:41,2025-12-11 19:02:43,62,10,3.63875699043274,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1051,1051,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
186,Free Dive,2025-12-11 19:11:18,2025-12-11 19:12:01,43,9.5,4.11201429367065,Yiqu,Beijing,HiDive,,30,30,30,Fresh,540,1051,1051,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
187,Free Dive,2025-12-11 19:13:04,2025-12-11 19:13:32,28,2.5,1.24820780754089,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1051,1051,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
188,Free Dive,2025-12-11 19:13:50,2025-12-11 19:14:22,32,3.29999995231628,1.93390262126923,Yiqu,Beijing,HiDive,,30,30,30,Fresh,60,1051,1051,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
189,Free Dive,2025-12-11 19:15:11,2025-12-11 19:15:55,44,0.800000011920929,0.560415625572205,Yiqu,Beijing,HiDive,,30,30,30,Fresh,60,1051,1051,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
190,Free Dive,2025-12-11 19:16:35,2025-12-11 19:17:36,61,11.1999998092651,4.36681747436523,Yiqu,Beijing,HiDive,,30,30,30,Fresh,60,1051,1051,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
191,Free Dive,2025-12-11 19:21:36,2025-12-11 19:22:43,67,11.9000005722046,6.73547410964966,Yiqu,Beijing,HiDive,,30,30,30,Fresh,240,1051,1051,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
192,Free Dive,2025-12-11 19:25:55,2025-12-11 19:27:16,81,11.9000005722046,8.68614864349365,Yiqu,Beijing,HiDive,,30,30,30,Fresh,240,1051,1051,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
193,Free Dive,2025-12-11 19:31:37,2025-12-11 19:32:50,73,11.9000005722046,6.96441316604614,Yiqu,Beijing,HiDive,,30,30,30,Fresh,300,1052,1052,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
194,Free Dive,2025-12-11 19:35:46,2025-12-11 19:36:33,47,11,4.72227144241333,Yiqu,Beijing,HiDive,,30,30,30,Fresh,180,1052,1052,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
195,Free Dive,2025-12-11 19:38:51,2025-12-11 19:39:52,61,11.9000005722046,7.53208541870117,Yiqu,Beijing,HiDive,,30,30,30,Fresh,180,1052,1052,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
196,Free Dive,2025-12-11 19:41:58,2025-12-11 19:42:11,13,0.900000035762787,0.570484220981598,Yiqu,Beijing,HiDive,,30,30,30,Fresh,180,1052,1052,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
197,Free Dive,2025-12-11 19:43:03,2025-12-11 19:43:37,34,6.90000009536743,3.66676831245422,Yiqu,Beijing,HiDive,,30,30,30,Fresh,60,1052,1052,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
198,Free Dive,2025-12-11 19:44:57,2025-12-11 19:45:36,39,8.40000057220459,4.31075382232666,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1052,1052,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
199,Free Dive,2025-12-11 19:48:36,2025-12-11 19:48:45,9,1.10000002384186,0.615886867046356,Yiqu,Beijing,HiDive,,30,30,30,Fresh,180,1053,1053,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
200,Free Dive,2025-12-11 19:50:18,2025-12-11 19:50:34,16,1.10000002384186,0.708677470684052,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1053,1053,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
201,Free Dive,2025-12-11 19:51:48,2025-12-11 19:52:29,41,7.80000019073486,4.1420693397522,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1052,1052,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
202,Free Dive,2025-12-11 19:53:38,2025-12-11 19:54:30,52,11.5,6.88512420654297,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1052,1052,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
203,Free Dive,2025-12-13 17:59:54,2025-12-13 18:00:29,35,11.6000003814697,5.12177753448486,,Beijing,HiDive,,29,29,29,Fresh,165960,1032,1032,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
204,Free Dive,2025-12-13 18:01:54,2025-12-13 18:02:33,39,4.90000009536743,1.69720053672791,,Beijing,HiDive,,29,29,29,Fresh,120,1032,1032,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
205,Free Dive,2025-12-13 18:04:10,2025-12-13 18:05:03,53,11.6000003814697,6.7307505607605,,Beijing,HiDive,,29,29,29,Fresh,120,1036,1036,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
206,Free Dive,2025-12-13 18:07:10,2025-12-13 18:08:16,66,11.9000005722046,7.85465002059937,,Beijing,HiDive,,29,29,29,Fresh,180,1036,1036,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
207,Free Dive,2025-12-13 18:11:11,2025-12-13 18:12:14,63,11.9000005722046,8.06300735473633,,Beijing,HiDive,,29,29,29,Fresh,180,1036,1036,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
208,Free Dive,2025-12-13 18:15:56,2025-12-13 18:16:49,53,8.90000057220459,4.18086004257202,,Beijing,HiDive,,29,29,29,Fresh,240,1044,1044,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
209,Free Dive,2025-12-13 18:21:04,2025-12-13 18:21:52,48,8,4.46676397323608,,Beijing,HiDive,,29,29,29,Fresh,300,1044,1044,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
210,Free Dive,2025-12-13 18:26:04,2025-12-13 18:26:57,53,10.9000005722046,5.30129814147949,,Beijing,HiDive,,29,29,29,Fresh,300,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
211,Free Dive,2025-12-13 18:28:59,2025-12-13 18:30:12,73,11.8000001907349,8.62197399139404,,Beijing,HiDive,,29,29,29,Fresh,180,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
212,Free Dive,2025-12-13 18:33:31,2025-12-13 18:34:23,52,9.90000057220459,4.29355525970459,,Beijing,HiDive,,29,29,29,Fresh,240,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
213,Free Dive,2025-12-13 18:36:43,2025-12-13 18:37:26,43,5.30000019073486,2.76478862762451,,Beijing,HiDive,,29,29,29,Fresh,180,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
214,Free Dive,2025-12-13 18:38:22,2025-12-13 18:38:57,35,5.30000019073486,2.51214265823364,,Beijing,HiDive,,29,29,29,Fresh,60,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
215,Free Dive,2025-12-13 18:40:02,2025-12-13 18:40:49,47,6.59999990463257,3.48403382301331,,Beijing,HiDive,,29,29,29,Fresh,120,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
216,Free Dive,2025-12-13 18:43:34,2025-12-13 18:44:31,57,7.59999990463257,4.14410829544067,,Beijing,HiDive,,29,29,29,Fresh,180,1044,1044,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
217,Free Dive,2025-12-13 18:49:08,2025-12-13 18:49:56,48,11.1000003814697,5.16713285446167,,Beijing,HiDive,,29,29,29,Fresh,300,1044,1044,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
218,Free Dive,2025-12-13 18:52:15,2025-12-13 18:52:56,41,6,3.16187500953674,,Beijing,HiDive,,29,29,29,Fresh,180,1044,1044,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
219,Free Dive,2025-12-13 18:53:55,2025-12-13 18:54:37,42,10.6999998092651,4.48680400848389,,Beijing,HiDive,,29,29,29,Fresh,60,1044,1044,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
220,Free Dive,2025-12-13 18:56:20,2025-12-13 18:57:17,57,10.6999998092651,6.00963687896729,,Beijing,HiDive,,29,29,29,Fresh,120,1044,1044,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
221,Free Dive,2025-12-13 18:59:54,2025-12-13 19:00:37,43,11.4000005722046,4.91235971450806,,Beijing,HiDive,,29,29,29,Fresh,180,1044,1044,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
222,Free Dive,2025-12-13 19:03:16,2025-12-13 19:04:11,55,9.80000019073486,4.20342111587524,,Beijing,HiDive,,29,29,29,Fresh,180,1044,1044,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
223,Free Dive,2025-12-13 19:05:18,2025-12-13 19:05:46,28,4.59999990463257,2.05015635490417,,Beijing,HiDive,,29,29,29,Fresh,120,1047,1047,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
224,Free Dive,2025-12-13 19:08:24,2025-12-13 19:09:25,61,11.5,6.3401255607605,,Beijing,HiDive,,29,29,29,Fresh,180,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
225,Free Dive,2025-12-13 19:11:01,2025-12-13 19:12:00,59,11.1000003814697,5.88543462753296,,Beijing,HiDive,,29,29,29,Fresh,120,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
226,Free Dive,2025-12-13 19:14:17,2025-12-13 19:15:11,54,11.1000003814697,5.71224594116211,,Beijing,HiDive,,29,29,29,Fresh,180,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
227,Free Dive,2025-12-13 19:17:21,2025-12-13 19:18:01,40,11,5.15935802459717,,Beijing,HiDive,,29,29,29,Fresh,180,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
228,Free Dive,2025-12-13 19:20:13,2025-12-13 19:20:56,43,10.6999998092651,5.31045055389404,,Beijing,HiDive,,29,29,29,Fresh,180,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
229,Free Dive,2025-12-13 19:22:31,2025-12-13 19:22:40,9,1,0.479929119348526,,Beijing,HiDive,,29,29,29,Fresh,120,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
230,Free Dive,2025-12-13 19:23:20,2025-12-13 19:24:09,49,10.9000005722046,4.92023277282715,,Beijing,HiDive,,29,29,29,Fresh,60,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
231,Free Dive,2025-12-13 19:24:35,2025-12-13 19:25:11,36,11.6999998092651,5.69272708892822,,Beijing,HiDive,,29,29,29,Fresh,60,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
232,Free Dive,2025-12-13 19:25:39,2025-12-13 19:26:21,42,10.8000001907349,5.16744041442871,,Beijing,HiDive,,29,29,29,Fresh,60,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
233,Free Dive,2025-12-13 19:29:28,2025-12-13 19:30:08,40,11,5.0622673034668,,Beijing,HiDive,,29,29,29,Fresh,240,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
234,Free Dive,2025-12-13 19:32:36,2025-12-13 19:32:44,8,1.20000004768372,0.526591420173645,,Beijing,HiDive,,29,29,29,Fresh,180,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
235,Free Dive,2025-12-13 19:33:09,2025-12-13 19:33:53,44,10.9000005722046,4.76720714569092,,Beijing,HiDive,,29,29,29,Fresh,60,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
236,Free Dive,2025-12-13 19:36:08,2025-12-13 19:36:55,47,10.4000005722046,4.25129556655884,,Beijing,HiDive,,29,29,29,Fresh,180,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
237,Free Dive,2025-12-13 19:38:08,2025-12-13 19:39:05,57,11.3000001907349,6.17035722732544,,Beijing,HiDive,,29,29,29,Fresh,120,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
238,Free Dive,2025-12-13 19:39:39,2025-12-13 19:40:18,39,7.09999990463257,3.45580840110779,,Beijing,HiDive,,29,29,29,Fresh,60,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
239,Free Dive,2025-12-13 19:40:56,2025-12-13 19:41:49,53,9.40000057220459,3.77177834510803,,Beijing,HiDive,,29,29,29,Fresh,60,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
240,Free Dive,2025-12-13 19:44:06,2025-12-13 19:45:06,60,11.6000003814697,5.51306819915771,,Beijing,HiDive,,29,29,29,Fresh,180,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
241,Free Dive,2025-12-13 19:47:21,2025-12-13 19:48:07,46,10.9000005722046,4.76465034484863,,Beijing,HiDive,,29,29,29,Fresh,180,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
242,Free Dive,2025-12-13 19:50:36,2025-12-13 19:51:22,46,11.9000005722046,6.15827703475952,,Beijing,HiDive,,29,29,29,Fresh,180,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
243,Free Dive,2025-12-13 19:53:35,2025-12-13 19:54:18,43,11.1999998092651,5.08986663818359,,Beijing,HiDive,,29,29,29,Fresh,180,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
244,Free Dive,2025-12-13 19:55:37,2025-12-13 19:56:20,43,11.1000003814697,5.59179878234863,,Beijing,HiDive,,29,29,29,Fresh,120,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
245,Free Dive,2025-12-13 19:57:16,2025-12-13 19:58:01,45,10.6000003814697,4.15109634399414,,Beijing,HiDive,,29,29,29,Fresh,60,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.09999990463257,4.09999990463257,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
246,Free Dive,2025-12-16 18:01:22,2025-12-16 18:02:10,48,11.9000005722046,4.50150918960571,Yiqu,Beijing,HiDive,,29,29,29,Fresh,252240,1031,1031,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
247,Free Dive,2025-12-16 18:02:43,2025-12-16 18:03:38,55,10.6000003814697,3.95986771583557,Yiqu,Beijing,HiDive,,29,29,29,Fresh,60,1031,1031,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
248,Free Dive,2025-12-16 18:05:48,2025-12-16 18:06:49,61,12,8.04025077819824,Yiqu,Beijing,HiDive,,29,29,29,Fresh,180,1031,1031,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
249,Free Dive,2025-12-16 18:09:26,2025-12-16 18:10:10,44,4.59999990463257,2.23187518119812,Yiqu,Beijing,HiDive,,29,29,29,Fresh,180,1035,1035,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
250,Free Dive,2025-12-16 18:11:05,2025-12-16 18:11:48,43,10.1000003814697,4.4272837638855,Yiqu,Beijing,HiDive,,29,29,29,Fresh,60,1037,1037,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
251,Free Dive,2025-12-16 18:13:57,2025-12-16 18:14:49,52,11,5.95405149459839,Yiqu,Beijing,HiDive,,29,29,29,Fresh,180,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
252,Free Dive,2025-12-16 18:17:01,2025-12-16 18:18:05,64,11,5.65834903717041,Yiqu,Beijing,HiDive,,29,29,29,Fresh,180,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
253,Free Dive,2025-12-16 18:20:29,2025-12-16 18:21:15,46,8.60000038146973,5.19409227371216,Yiqu,Beijing,HiDive,,29,29,29,Fresh,180,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
254,Free Dive,2025-12-16 18:23:39,2025-12-16 18:24:33,54,7.59999990463257,4.63325452804565,Yiqu,Beijing,HiDive,,29,29,29,Fresh,180,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
255,Free Dive,2025-12-16 18:26:56,2025-12-16 18:27:39,43,6.30000019073486,3.17370104789734,Yiqu,Beijing,HiDive,,29,29,29,Fresh,180,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
256,Free Dive,2025-12-16 18:30:19,2025-12-16 18:31:07,48,9.60000038146973,5.26910066604614,Yiqu,Beijing,HiDive,,29,29,29,Fresh,180,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
257,Free Dive,2025-12-16 18:33:11,2025-12-16 18:34:09,58,11.5,6.63253927230835,Yiqu,Beijing,HiDive,,29,29,29,Fresh,180,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
